Name Const Min Max Log NormalDist Mean SD Rule
seedsStartAge NA 10 100 FALSE FALSE NA NA FALSE
seedsEndAge NA 30 120 FALSE FALSE NA NA TRUE
tuberStartAge NA 30 30 FALSE FALSE NA NA FALSE
tuberEndAge NA 60 60 FALSE FALSE NA NA TRUE
cTuber NA 0.1 0.1 FALSE FALSE NA NA FALSE
pMax NA 0.001 0.01 TRUE FALSE NA NA FALSE
q10 NA 2 2 FALSE FALSE NA NA FALSE
resp20 NA 0.002 0.002 TRUE FALSE NA NA FALSE
heightMax NA 0.1 1.0 TRUE FALSE NA NA FALSE
maxWeightLenRatio NA 0.01 0.1 TRUE FALSE NA NA FALSE
rootShootRatio NA 0.1 0.1 FALSE FALSE NA NA FALSE
fracPeriphyton 0.2 NA NA FALSE FALSE NA NA FALSE
hPhotoDist NA 1.0 1.0 FALSE FALSE NA NA FALSE
hPhotoLight NA 15 60 FALSE FALSE NA NA FALSE
hPhotoTemp NA 14 14 FALSE FALSE NA NA FALSE
hTurbReduction 0.1 NA NA FALSE FALSE NA NA FALSE
plantK NA 0.02 0.02 FALSE FALSE NA NA FALSE
pPhotoTemp NA 2 3 FALSE FALSE NA NA FALSE
pTurbReduction 0.1 NA NA FALSE FALSE NA NA FALSE
sPhotoTemp NA 1.35 1.35 FALSE FALSE NA NA FALSE
BackgroundMort 0 NA NA FALSE FALSE NA NA FALSE
cThinning NA 5950 5950 FALSE FALSE NA NA FALSE
hWaveMort NA 0 0.5 FALSE FALSE NA NA FALSE
germinationDay NA 75 150 FALSE FALSE NA NA FALSE
reproDay NA 227 289 FALSE FALSE NA NA TRUE
maxAge NA 150 300 FALSE FALSE NA NA TRUE
maxWaveMort NA 0.1 1 FALSE FALSE NA NA FALSE
pWaveMort NA 0 8 FALSE FALSE NA NA FALSE
thinning NA NA NA FALSE FALSE NA NA FALSE
hNutrient NA 0.006 0.007 TRUE FALSE NA NA FALSE
hNutrReduction -999 NA NA FALSE FALSE NA NA FALSE
pNutrient NA 4 8 FALSE FALSE NA NA FALSE
seedBiomass NA 0.00002 0.00002 FALSE FALSE NA NA FALSE
seedFraction NA 0.13 0.13 FALSE FALSE NA NA FALSE
seedGermination NA 0.8 0.8 FALSE FALSE NA NA FALSE
seedInitialBiomass 2 NA NA FALSE FALSE NA NA FALSE
seedMortality 0 NA NA FALSE FALSE NA NA FALSE
tuberBiomass NA 0 0 FALSE FALSE NA NA FALSE
tuberFraction NA 0 0 FALSE FALSE NA NA FALSE
tuberGermination 0 NA NA FALSE FALSE NA NA FALSE
tuberGerminationDay NA 0 0 FALSE FALSE NA NA FALSE
tuberInitialBiomass 0 NA NA FALSE FALSE NA NA FALSE
tuberMortality 0 NA NA FALSE FALSE NA NA FALSE
Kohler5 NA 0 0 FALSE FALSE NA NA FALSE
