speciesID lakeID variable value scenario
15125 1 -0.5 392.447845558905 incr5
15125 11 -0.5 339.866083853151 incr5
15125 18 -0.5 339.545427195826 incr5
15125 22 -0.5 401.963098997982 incr5
15125 28 -0.5 407.729734254861 incr5
15125 1 -1.5 153.638913302251 incr5
15125 11 -1.5 49.5716496080443 incr5
15125 18 -1.5 111.220071174684 incr5
15125 22 -1.5 224.440034751042 incr5
15125 28 -1.5 275.09066164342 incr5
15125 1 -3 0 incr5
15125 11 -3 0 incr5
15125 18 -3 0 incr5
15125 22 -3 35.9714470527916 incr5
15125 28 -3 92.0107924336423 incr5
15125 1 -5 0 incr5
15125 11 -5 0 incr5
15125 18 -5 0 incr5
15125 22 -5 0 incr5
15125 28 -5 0 incr5
