speciesID lakeID variable value scenario
16121 1 -0.5 0 S1_1
16124 1 -0.5 552.560180549967 S1_1
16125 1 -0.5 0 S1_1
16126 1 -0.5 387.977251223941 S1_1
16128 1 -0.5 283.638956015286 S1_1
16134 1 -0.5 0 S1_1
16135 1 -0.5 0 S1_1
16136 1 -0.5 561.647703028168 S1_1
16137 1 -0.5 0 S1_1
16138 1 -0.5 0 S1_1
16139 1 -0.5 0 S1_1
16141 1 -0.5 0 S1_1
16142 1 -0.5 0 S1_1
16143 1 -0.5 168.094711119176 S1_1
16145 1 -0.5 0 S1_1
16146 1 -0.5 0 S1_1
16147 1 -0.5 729.186959817757 S1_1
16148 1 -0.5 0 S1_1
16149 1 -0.5 271.485383951463 S1_1
16150 1 -0.5 230.775850351936 S1_1
16151 1 -0.5 0 S1_1
16153 1 -0.5 238.810622260446 S1_1
16155 1 -0.5 308.033039951573 S1_1
16156 1 -0.5 490.0261241503 S1_1
16157 1 -0.5 0 S1_1
16159 1 -0.5 654.690341799818 S1_1
16161 1 -0.5 0 S1_1
16163 1 -0.5 31.962024363095 S1_1
16164 1 -0.5 651.487124828709 S1_1
16165 1 -0.5 42.6909533880138 S1_1
16167 1 -0.5 0 S1_1
16168 1 -0.5 0 S1_1
16169 1 -0.5 113.537666120935 S1_1
16170 1 -0.5 658.898362453355 S1_1
16171 1 -0.5 0 S1_1
16172 1 -0.5 337.817700643898 S1_1
16174 1 -0.5 0 S1_1
16176 1 -0.5 140.276679789253 S1_1
16177 1 -0.5 0 S1_1
16121 2 -0.5 0 S1_1
16124 2 -0.5 140.632624695292 S1_1
16125 2 -0.5 0 S1_1
16126 2 -0.5 105.912544281748 S1_1
16128 2 -0.5 46.6834912563505 S1_1
16134 2 -0.5 0 S1_1
16135 2 -0.5 0 S1_1
16136 2 -0.5 138.067208060449 S1_1
16137 2 -0.5 0 S1_1
16138 2 -0.5 0 S1_1
16139 2 -0.5 0 S1_1
16141 2 -0.5 0 S1_1
16142 2 -0.5 0 S1_1
16143 2 -0.5 0 S1_1
16145 2 -0.5 0 S1_1
16146 2 -0.5 0 S1_1
16147 2 -0.5 36.1003679224111 S1_1
16148 2 -0.5 0 S1_1
16149 2 -0.5 0 S1_1
16150 2 -0.5 0 S1_1
16151 2 -0.5 0 S1_1
16153 2 -0.5 61.0161003250228 S1_1
16155 2 -0.5 65.0599002939969 S1_1
16156 2 -0.5 140.353473261961 S1_1
16157 2 -0.5 0 S1_1
16159 2 -0.5 227.544466141679 S1_1
16161 2 -0.5 0 S1_1
16163 2 -0.5 0 S1_1
16164 2 -0.5 0 S1_1
16165 2 -0.5 0 S1_1
16167 2 -0.5 0 S1_1
16168 2 -0.5 0 S1_1
