speciesID lakeID variable value scenario
14250 1 -0.5 90.8299600145063 S2_N1_T0
14252 1 -0.5 219.83680246471 S2_N1_T0
14254 1 -0.5 0 S2_N1_T0
14255 1 -0.5 0 S2_N1_T0
14257 1 -0.5 0 S2_N1_T0
14258 1 -0.5 128.993182517148 S2_N1_T0
14259 1 -0.5 0 S2_N1_T0
14260 1 -0.5 143.694676650666 S2_N1_T0
14262 1 -0.5 210.664242259152 S2_N1_T0
14267 1 -0.5 82.5203648990317 S2_N1_T0
14272 1 -0.5 1.81519420393621 S2_N1_T0
14275 1 -0.5 0 S2_N1_T0
14276 1 -0.5 0 S2_N1_T0
14277 1 -0.5 0 S2_N1_T0
14279 1 -0.5 111.196776040324 S2_N1_T0
14281 1 -0.5 0 S2_N1_T0
14283 1 -0.5 0 S2_N1_T0
14284 1 -0.5 0 S2_N1_T0
14285 1 -0.5 0 S2_N1_T0
14287 1 -0.5 266.138504211162 S2_N1_T0
14294 1 -0.5 0 S2_N1_T0
14295 1 -0.5 18.7723457363231 S2_N1_T0
14296 1 -0.5 0 S2_N1_T0
14297 1 -0.5 250.690039850224 S2_N1_T0
14299 1 -0.5 0 S2_N1_T0
14300 1 -0.5 0 S2_N1_T0
15088 1 -0.5 0 S2_N1_T0
15089 1 -0.5 0 S2_N1_T0
15090 1 -0.5 438.513011533236 S2_N1_T0
15091 1 -0.5 407.052856795021 S2_N1_T0
15092 1 -0.5 0 S2_N1_T0
15095 1 -0.5 435.783687340595 S2_N1_T0
15096 1 -0.5 79.2315890390958 S2_N1_T0
15097 1 -0.5 0 S2_N1_T0
15098 1 -0.5 0 S2_N1_T0
15099 1 -0.5 0 S2_N1_T0
15101 1 -0.5 0 S2_N1_T0
15102 1 -0.5 0 S2_N1_T0
15107 1 -0.5 779.158147914074 S2_N1_T0
14250 2 -0.5 0 S2_N1_T0
14252 2 -0.5 0 S2_N1_T0
14254 2 -0.5 0 S2_N1_T0
14255 2 -0.5 0 S2_N1_T0
14257 2 -0.5 0 S2_N1_T0
14258 2 -0.5 0 S2_N1_T0
14259 2 -0.5 0 S2_N1_T0
14260 2 -0.5 0 S2_N1_T0
14262 2 -0.5 7.6470191573259 S2_N1_T0
14267 2 -0.5 0 S2_N1_T0
14272 2 -0.5 0 S2_N1_T0
14275 2 -0.5 0 S2_N1_T0
14276 2 -0.5 0 S2_N1_T0
14277 2 -0.5 0 S2_N1_T0
14279 2 -0.5 0 S2_N1_T0
14281 2 -0.5 0 S2_N1_T0
14283 2 -0.5 0 S2_N1_T0
14284 2 -0.5 0 S2_N1_T0
14285 2 -0.5 0 S2_N1_T0
14287 2 -0.5 0 S2_N1_T0
14294 2 -0.5 0 S2_N1_T0
14295 2 -0.5 0 S2_N1_T0
14296 2 -0.5 0 S2_N1_T0
14297 2 -0.5 31.0061598498015 S2_N1_T0
14299 2 -0.5 0 S2_N1_T0
14300 2 -0.5 0 S2_N1_T0
15088 2 -0.5 0 S2_N1_T0
15089 2 -0.5 0 S2_N1_T0
15090 2 -0.5 0 S2_N1_T0
15091 2 -0.5 0 S2_N1_T0
15092 2 -0.5 0 S2_N1_T0
15095 2 -0.5 57.6613594610328 S2_N1_T0
15096 2 -0.5 0 S2_N1_T0
