speciesID lakeID variable value scenario
16241 1 -0.5 0 S2_N1_Tm1
16242 1 -0.5 701.048363694285 S2_N1_Tm1
16243 1 -0.5 384.676035700826 S2_N1_Tm1
16244 1 -0.5 0 S2_N1_Tm1
16246 1 -0.5 0 S2_N1_Tm1
16247 1 -0.5 0 S2_N1_Tm1
16248 1 -0.5 154.079512384735 S2_N1_Tm1
16250 1 -0.5 0 S2_N1_Tm1
16251 1 -0.5 0 S2_N1_Tm1
16253 1 -0.5 0 S2_N1_Tm1
16254 1 -0.5 68.8518963951268 S2_N1_Tm1
16256 1 -0.5 656.997916530448 S2_N1_Tm1
16258 1 -0.5 48.8412267596303 S2_N1_Tm1
16259 1 -0.5 7.15704641383031 S2_N1_Tm1
16260 1 -0.5 0 S2_N1_Tm1
16261 1 -0.5 0 S2_N1_Tm1
16263 1 -0.5 0 S2_N1_Tm1
16265 1 -0.5 539.587445852561 S2_N1_Tm1
16266 1 -0.5 49.6506924126944 S2_N1_Tm1
16270 1 -0.5 0 S2_N1_Tm1
16271 1 -0.5 474.790344153639 S2_N1_Tm1
16272 1 -0.5 640.357539167868 S2_N1_Tm1
16275 1 -0.5 0 S2_N1_Tm1
16276 1 -0.5 0 S2_N1_Tm1
16280 1 -0.5 1439.75552612795 S2_N1_Tm1
16281 1 -0.5 55.9405345741279 S2_N1_Tm1
16282 1 -0.5 0 S2_N1_Tm1
16284 1 -0.5 0 S2_N1_Tm1
16285 1 -0.5 567.510786428249 S2_N1_Tm1
16286 1 -0.5 377.690232715377 S2_N1_Tm1
16290 1 -0.5 297.175568839583 S2_N1_Tm1
16291 1 -0.5 0 S2_N1_Tm1
16292 1 -0.5 675.351612804031 S2_N1_Tm1
16293 1 -0.5 0 S2_N1_Tm1
16294 1 -0.5 0 S2_N1_Tm1
16295 1 -0.5 339.359988476452 S2_N1_Tm1
16296 1 -0.5 0 S2_N1_Tm1
16297 1 -0.5 769.080460122383 S2_N1_Tm1
16298 1 -0.5 267.265389111086 S2_N1_Tm1
