speciesID lakeID variable value scenario
15294 1 -0.5 52.153874842177 S2_Nm1_T0
15295 1 -0.5 0 S2_Nm1_T0
15296 1 -0.5 235.622905522266 S2_Nm1_T0
15297 1 -0.5 0 S2_Nm1_T0
15299 1 -0.5 0 S2_Nm1_T0
15300 1 -0.5 21.8057173786389 S2_Nm1_T0
16069 1 -0.5 0 S2_Nm1_T0
16071 1 -0.5 0 S2_Nm1_T0
16072 1 -0.5 552.648474898944 S2_Nm1_T0
16074 1 -0.5 0 S2_Nm1_T0
16075 1 -0.5 182.545363159154 S2_Nm1_T0
16076 1 -0.5 0 S2_Nm1_T0
16078 1 -0.5 0 S2_Nm1_T0
16079 1 -0.5 160.829003547802 S2_Nm1_T0
16081 1 -0.5 0 S2_Nm1_T0
16082 1 -0.5 12.8634878882141 S2_Nm1_T0
16083 1 -0.5 0 S2_Nm1_T0
16084 1 -0.5 0 S2_Nm1_T0
16086 1 -0.5 366.609454411859 S2_Nm1_T0
16087 1 -0.5 0 S2_Nm1_T0
16091 1 -0.5 0 S2_Nm1_T0
16093 1 -0.5 278.221455498741 S2_Nm1_T0
16096 1 -0.5 4.31832685718872 S2_Nm1_T0
16097 1 -0.5 436.951607659191 S2_Nm1_T0
16099 1 -0.5 0 S2_Nm1_T0
16101 1 -0.5 0 S2_Nm1_T0
16104 1 -0.5 573.964148753673 S2_Nm1_T0
16107 1 -0.5 0 S2_Nm1_T0
16108 1 -0.5 412.870344529035 S2_Nm1_T0
16109 1 -0.5 7.08971070313123 S2_Nm1_T0
16110 1 -0.5 0 S2_Nm1_T0
16111 1 -0.5 0 S2_Nm1_T0
16112 1 -0.5 669.035117741161 S2_Nm1_T0
16113 1 -0.5 293.560224820426 S2_Nm1_T0
16114 1 -0.5 371.873388070845 S2_Nm1_T0
16115 1 -0.5 143.44909256339 S2_Nm1_T0
16116 1 -0.5 0 S2_Nm1_T0
16119 1 -0.5 0 S2_Nm1_T0
16120 1 -0.5 233.453347519668 S2_Nm1_T0
15294 2 -0.5 0 S2_Nm1_T0
15295 2 -0.5 0 S2_Nm1_T0
15296 2 -0.5 0 S2_Nm1_T0
15297 2 -0.5 0 S2_Nm1_T0
15299 2 -0.5 0 S2_Nm1_T0
15300 2 -0.5 0 S2_Nm1_T0
16069 2 -0.5 0 S2_Nm1_T0
16071 2 -0.5 0 S2_Nm1_T0
16072 2 -0.5 0 S2_Nm1_T0
16074 2 -0.5 0 S2_Nm1_T0
16075 2 -0.5 0 S2_Nm1_T0
16076 2 -0.5 0 S2_Nm1_T0
16078 2 -0.5 0 S2_Nm1_T0
