speciesID lakeID variable value scenario
15070 1 -0.5 0 S0_1
15072 1 -0.5 0 S0_1
15073 1 -0.5 49.0233550965948 S0_1
15074 1 -0.5 15.9722507711919 S0_1
15077 1 -0.5 0 S0_1
15079 1 -0.5 148.782671702951 S0_1
15081 1 -0.5 83.194086865404 S0_1
15082 1 -0.5 401.513190492688 S0_1
15084 1 -0.5 612.272550935516 S0_1
15086 1 -0.5 0 S0_1
14001 1 -0.5 0 S0_1
14002 1 -0.5 0 S0_1
14003 1 -0.5 0 S0_1
14005 1 -0.5 0 S0_1
14008 1 -0.5 0 S0_1
15070 2 -0.5 0 S0_1
15072 2 -0.5 0 S0_1
15073 2 -0.5 0 S0_1
15074 2 -0.5 0 S0_1
15077 2 -0.5 0 S0_1
15079 2 -0.5 3.7507440174738 S0_1
15081 2 -0.5 0 S0_1
15082 2 -0.5 0 S0_1
15084 2 -0.5 0 S0_1
15086 2 -0.5 0 S0_1
14001 2 -0.5 0 S0_1
14002 2 -0.5 0 S0_1
14003 2 -0.5 0 S0_1
14005 2 -0.5 0 S0_1
14008 2 -0.5 0 S0_1
15070 3 -0.5 0 S0_1
15072 3 -0.5 0 S0_1
15073 3 -0.5 0 S0_1
15074 3 -0.5 0 S0_1
15077 3 -0.5 0 S0_1
15079 3 -0.5 94.2827615315204 S0_1
15081 3 -0.5 0 S0_1
15082 3 -0.5 102.462355706452 S0_1
15084 3 -0.5 258.372781882102 S0_1
15086 3 -0.5 0 S0_1
14001 3 -0.5 0 S0_1
14002 3 -0.5 0 S0_1
14003 3 -0.5 0 S0_1
14005 3 -0.5 0 S0_1
14008 3 -0.5 0 S0_1
15070 4 -0.5 0 S0_1
15072 4 -0.5 0 S0_1
15073 4 -0.5 0 S0_1
15074 4 -0.5 0 S0_1
15077 4 -0.5 0 S0_1
15079 4 -0.5 127.974685630036 S0_1
15081 4 -0.5 28.400006892144 S0_1
15082 4 -0.5 293.699101560157 S0_1
15084 4 -0.5 504.924650143742 S0_1
15086 4 -0.5 0 S0_1
