speciesID lakeID variable value scenario
16001 1 -0.5 8.66810248619423 S2_N1_T0
16002 1 -0.5 665.127181798827 S2_N1_T0
16003 1 -0.5 1.74278488372686 S2_N1_T0
16004 1 -0.5 0 S2_N1_T0
16005 1 -0.5 361.143778021808 S2_N1_T0
16007 1 -0.5 74.2770713927932 S2_N1_T0
16008 1 -0.5 473.27061282208 S2_N1_T0
16011 1 -0.5 7.66735171744049 S2_N1_T0
16013 1 -0.5 671.951797822807 S2_N1_T0
16014 1 -0.5 0 S2_N1_T0
16015 1 -0.5 285.205657720838 S2_N1_T0
16017 1 -0.5 293.855196972149 S2_N1_T0
16018 1 -0.5 18.72343209487 S2_N1_T0
16020 1 -0.5 1.93770434167871 S2_N1_T0
16021 1 -0.5 50.0053175179447 S2_N1_T0
16001 2 -0.5 0 S2_N1_T0
16002 2 -0.5 3.10900993410838 S2_N1_T0
16003 2 -0.5 0 S2_N1_T0
16004 2 -0.5 0 S2_N1_T0
16005 2 -0.5 0 S2_N1_T0
16007 2 -0.5 0 S2_N1_T0
16008 2 -0.5 104.814923323111 S2_N1_T0
16011 2 -0.5 0 S2_N1_T0
16013 2 -0.5 81.1866485327782 S2_N1_T0
16014 2 -0.5 0 S2_N1_T0
16015 2 -0.5 103.134846788487 S2_N1_T0
16017 2 -0.5 47.9631284103499 S2_N1_T0
16018 2 -0.5 0 S2_N1_T0
16020 2 -0.5 0 S2_N1_T0
16021 2 -0.5 0 S2_N1_T0
16001 3 -0.5 0 S2_N1_T0
16002 3 -0.5 110.001993282358 S2_N1_T0
16003 3 -0.5 0 S2_N1_T0
16004 3 -0.5 0 S2_N1_T0
16005 3 -0.5 1.52497263315397 S2_N1_T0
16007 3 -0.5 0 S2_N1_T0
16008 3 -0.5 204.781108442 S2_N1_T0
16011 3 -0.5 0 S2_N1_T0
16013 3 -0.5 220.169611720265 S2_N1_T0
16014 3 -0.5 0 S2_N1_T0
16015 3 -0.5 139.099913029052 S2_N1_T0
16017 3 -0.5 92.4778200466146 S2_N1_T0
16018 3 -0.5 0 S2_N1_T0
16020 3 -0.5 0 S2_N1_T0
16021 3 -0.5 0 S2_N1_T0
16001 4 -0.5 0 S2_N1_T0
16002 4 -0.5 248.346802913975 S2_N1_T0
16003 4 -0.5 0 S2_N1_T0
16004 4 -0.5 0 S2_N1_T0
16005 4 -0.5 88.9595337307732 S2_N1_T0
16007 4 -0.5 17.9969907254376 S2_N1_T0
16008 4 -0.5 302.445799700003 S2_N1_T0
16011 4 -0.5 0 S2_N1_T0
16013 4 -0.5 366.085436002965 S2_N1_T0
16014 4 -0.5 0 S2_N1_T0
16015 4 -0.5 175.173085979176 S2_N1_T0
16017 4 -0.5 138.958358293513 S2_N1_T0
16018 4 -0.5 0 S2_N1_T0
16020 4 -0.5 0 S2_N1_T0
16021 4 -0.5 0 S2_N1_T0
16001 5 -0.5 0 S2_N1_T0
16002 5 -0.5 0 S2_N1_T0
16003 5 -0.5 0 S2_N1_T0
16004 5 -0.5 0 S2_N1_T0
16005 5 -0.5 0 S2_N1_T0
16007 5 -0.5 0 S2_N1_T0
16008 5 -0.5 0 S2_N1_T0
16011 5 -0.5 0 S2_N1_T0
16013 5 -0.5 0 S2_N1_T0
16014 5 -0.5 0 S2_N1_T0
16015 5 -0.5 16.0815248730736 S2_N1_T0
16017 5 -0.5 0 S2_N1_T0
16018 5 -0.5 0 S2_N1_T0
16020 5 -0.5 0 S2_N1_T0
16021 5 -0.5 0 S2_N1_T0
16001 6 -0.5 0 S2_N1_T0
16002 6 -0.5 219.660798308313 S2_N1_T0
16003 6 -0.5 0 S2_N1_T0
16004 6 -0.5 0 S2_N1_T0
16005 6 -0.5 70.0707024638085 S2_N1_T0
16007 6 -0.5 19.9349961960254 S2_N1_T0
16008 6 -0.5 290.822341738091 S2_N1_T0
16011 6 -0.5 0 S2_N1_T0
16013 6 -0.5 338.629388897738 S2_N1_T0
16014 6 -0.5 0 S2_N1_T0
16015 6 -0.5 181.232572729623 S2_N1_T0
16017 6 -0.5 141.446485097313 S2_N1_T0
16018 6 -0.5 0 S2_N1_T0
16020 6 -0.5 0 S2_N1_T0
16021 6 -0.5 0 S2_N1_T0
16001 7 -0.5 0 S2_N1_T0
16002 7 -0.5 3.52973001830012 S2_N1_T0
16003 7 -0.5 0 S2_N1_T0
16004 7 -0.5 0 S2_N1_T0
16005 7 -0.5 0 S2_N1_T0
16007 7 -0.5 0 S2_N1_T0
16008 7 -0.5 107.062554122581 S2_N1_T0
16011 7 -0.5 0 S2_N1_T0
16013 7 -0.5 84.8156983694292 S2_N1_T0
16014 7 -0.5 0 S2_N1_T0
16015 7 -0.5 105.364472301965 S2_N1_T0
16017 7 -0.5 49.9306366742678 S2_N1_T0
16018 7 -0.5 0 S2_N1_T0
16020 7 -0.5 0 S2_N1_T0
16021 7 -0.5 0 S2_N1_T0
16001 8 -0.5 0 S2_N1_T0
16002 8 -0.5 390.248698623002 S2_N1_T0
16003 8 -0.5 0 S2_N1_T0
16004 8 -0.5 0 S2_N1_T0
16005 8 -0.5 190.360392291589 S2_N1_T0
16007 8 -0.5 49.5170135340933 S2_N1_T0
16008 8 -0.5 371.586830112806 S2_N1_T0
16011 8 -0.5 0 S2_N1_T0
16013 8 -0.5 478.077864961729 S2_N1_T0
16014 8 -0.5 0 S2_N1_T0
16015 8 -0.5 211.380382450477 S2_N1_T0
16017 8 -0.5 191.562654395483 S2_N1_T0
16018 8 -0.5 0 S2_N1_T0
16020 8 -0.5 0 S2_N1_T0
16021 8 -0.5 5.32635072135997 S2_N1_T0
16001 9 -0.5 0 S2_N1_T0
16002 9 -0.5 209.325325928779 S2_N1_T0
16003 9 -0.5 0 S2_N1_T0
16004 9 -0.5 0 S2_N1_T0
16005 9 -0.5 58.7882037246893 S2_N1_T0
16007 9 -0.5 12.9938075094193 S2_N1_T0
16008 9 -0.5 279.884389598234 S2_N1_T0
16011 9 -0.5 0 S2_N1_T0
16013 9 -0.5 326.994227448697 S2_N1_T0
16014 9 -0.5 0 S2_N1_T0
16015 9 -0.5 170.106458234434 S2_N1_T0
16017 9 -0.5 130.946847544664 S2_N1_T0
16018 9 -0.5 0 S2_N1_T0
16020 9 -0.5 0 S2_N1_T0
16021 9 -0.5 0 S2_N1_T0
16001 10 -0.5 0 S2_N1_T0
16002 10 -0.5 377.915175016808 S2_N1_T0
16003 10 -0.5 0 S2_N1_T0
16004 10 -0.5 0 S2_N1_T0
16005 10 -0.5 181.317268930722 S2_N1_T0
16007 10 -0.5 48.9143943845129 S2_N1_T0
16008 10 -0.5 375.906047843798 S2_N1_T0
16011 10 -0.5 0 S2_N1_T0
16013 10 -0.5 482.288416140244 S2_N1_T0
16014 10 -0.5 0 S2_N1_T0
16015 10 -0.5 215.772618409514 S2_N1_T0
16017 10 -0.5 188.432931435423 S2_N1_T0
16018 10 -0.5 0 S2_N1_T0
16020 10 -0.5 0 S2_N1_T0
16021 10 -0.5 6.98883739982862 S2_N1_T0
16001 11 -0.5 0 S2_N1_T0
16002 11 -0.5 584.282281812153 S2_N1_T0
16003 11 -0.5 0 S2_N1_T0
16004 11 -0.5 0 S2_N1_T0
16005 11 -0.5 299.58463855416 S2_N1_T0
16007 11 -0.5 48.6337316755953 S2_N1_T0
16008 11 -0.5 426.518288764955 S2_N1_T0
16011 11 -0.5 0 S2_N1_T0
16013 11 -0.5 603.985063623107 S2_N1_T0
16014 11 -0.5 0 S2_N1_T0
16015 11 -0.5 237.504255267424 S2_N1_T0
16017 11 -0.5 242.408872329635 S2_N1_T0
16018 11 -0.5 2.75008854476231 S2_N1_T0
16020 11 -0.5 0 S2_N1_T0
16021 11 -0.5 22.9299284738931 S2_N1_T0
16001 12 -0.5 6.83751029278718 S2_N1_T0
16002 12 -0.5 682.714934490167 S2_N1_T0
16003 12 -0.5 0 S2_N1_T0
16004 12 -0.5 0 S2_N1_T0
16005 12 -0.5 364.103206619597 S2_N1_T0
16007 12 -0.5 54.3190201537299 S2_N1_T0
16008 12 -0.5 434.860179657972 S2_N1_T0
16011 12 -0.5 4.29033323676325 S2_N1_T0
16013 12 -0.5 628.837933035346 S2_N1_T0
16014 12 -0.5 0 S2_N1_T0
16015 12 -0.5 267.689840934304 S2_N1_T0
16017 12 -0.5 315.615708073692 S2_N1_T0
16018 12 -0.5 19.3830802267707 S2_N1_T0
16020 12 -0.5 0 S2_N1_T0
16021 12 -0.5 41.7847305080097 S2_N1_T0
