speciesID lakeID variable value scenario
15042 1 -0.5 108.383721820788 S2_N1_Tm1
15045 1 -0.5 0 S2_N1_Tm1
15048 1 -0.5 43.2907099808661 S2_N1_Tm1
15049 1 -0.5 45.4055370714891 S2_N1_Tm1
15051 1 -0.5 531.204796470833 S2_N1_Tm1
15053 1 -0.5 638.337600410567 S2_N1_Tm1
15054 1 -0.5 0 S2_N1_Tm1
15055 1 -0.5 0 S2_N1_Tm1
15056 1 -0.5 0 S2_N1_Tm1
15057 1 -0.5 0 S2_N1_Tm1
15059 1 -0.5 313.861172715505 S2_N1_Tm1
15060 1 -0.5 0 S2_N1_Tm1
15063 1 -0.5 61.8594360011497 S2_N1_Tm1
15066 1 -0.5 0 S2_N1_Tm1
15069 1 -0.5 349.115487222536 S2_N1_Tm1
15042 2 -0.5 0 S2_N1_Tm1
15045 2 -0.5 0 S2_N1_Tm1
15048 2 -0.5 0 S2_N1_Tm1
15049 2 -0.5 0 S2_N1_Tm1
15051 2 -0.5 0 S2_N1_Tm1
15053 2 -0.5 0 S2_N1_Tm1
15054 2 -0.5 0 S2_N1_Tm1
15055 2 -0.5 0 S2_N1_Tm1
15056 2 -0.5 0 S2_N1_Tm1
15057 2 -0.5 0 S2_N1_Tm1
15059 2 -0.5 0 S2_N1_Tm1
15060 2 -0.5 0 S2_N1_Tm1
15063 2 -0.5 0 S2_N1_Tm1
15066 2 -0.5 0 S2_N1_Tm1
15069 2 -0.5 0 S2_N1_Tm1
15042 3 -0.5 1.97590476538441 S2_N1_Tm1
15045 3 -0.5 0 S2_N1_Tm1
15048 3 -0.5 24.233643581543 S2_N1_Tm1
15049 3 -0.5 0 S2_N1_Tm1
15051 3 -0.5 31.0246096741411 S2_N1_Tm1
15053 3 -0.5 4.24825088907274 S2_N1_Tm1
15054 3 -0.5 0 S2_N1_Tm1
15055 3 -0.5 0 S2_N1_Tm1
15056 3 -0.5 0 S2_N1_Tm1
15057 3 -0.5 0 S2_N1_Tm1
15059 3 -0.5 23.4719145245275 S2_N1_Tm1
15060 3 -0.5 0 S2_N1_Tm1
15063 3 -0.5 0 S2_N1_Tm1
15066 3 -0.5 0 S2_N1_Tm1
15069 3 -0.5 0 S2_N1_Tm1
15042 4 -0.5 78.2198365156799 S2_N1_Tm1
15045 4 -0.5 0 S2_N1_Tm1
15048 4 -0.5 31.9238956925651 S2_N1_Tm1
15049 4 -0.5 0 S2_N1_Tm1
15051 4 -0.5 210.968765512558 S2_N1_Tm1
15053 4 -0.5 253.889465230675 S2_N1_Tm1
15054 4 -0.5 0 S2_N1_Tm1
15055 4 -0.5 0 S2_N1_Tm1
15056 4 -0.5 0 S2_N1_Tm1
15057 4 -0.5 0 S2_N1_Tm1
15059 4 -0.5 216.22664820704 S2_N1_Tm1
15060 4 -0.5 0 S2_N1_Tm1
15063 4 -0.5 22.5962891306392 S2_N1_Tm1
15066 4 -0.5 0 S2_N1_Tm1
15069 4 -0.5 181.990018052297 S2_N1_Tm1
15042 5 -0.5 0 S2_N1_Tm1
15045 5 -0.5 0 S2_N1_Tm1
15048 5 -0.5 0 S2_N1_Tm1
15049 5 -0.5 0 S2_N1_Tm1
15051 5 -0.5 0 S2_N1_Tm1
15053 5 -0.5 0 S2_N1_Tm1
15054 5 -0.5 0 S2_N1_Tm1
