speciesID lakeID variable value scenario
14063 1 -0.5 10.8597685993455 S2_Nm1_T0
14064 1 -0.5 64.2503420931522 S2_Nm1_T0
14065 1 -0.5 45.3559872953131 S2_Nm1_T0
14066 1 -0.5 0 S2_Nm1_T0
14072 1 -0.5 0 S2_Nm1_T0
14073 1 -0.5 192.451829453865 S2_Nm1_T0
14074 1 -0.5 0 S2_Nm1_T0
14075 1 -0.5 0 S2_Nm1_T0
14077 1 -0.5 5.37993016911406 S2_Nm1_T0
14078 1 -0.5 42.8763010460616 S2_Nm1_T0
14085 1 -0.5 0 S2_Nm1_T0
14086 1 -0.5 203.31021243215 S2_Nm1_T0
14087 1 -0.5 0 S2_Nm1_T0
14088 1 -0.5 0 S2_Nm1_T0
14089 1 -0.5 0 S2_Nm1_T0
14063 2 -0.5 0 S2_Nm1_T0
14064 2 -0.5 0 S2_Nm1_T0
14065 2 -0.5 0 S2_Nm1_T0
14066 2 -0.5 0 S2_Nm1_T0
14072 2 -0.5 0 S2_Nm1_T0
14073 2 -0.5 0 S2_Nm1_T0
14074 2 -0.5 0 S2_Nm1_T0
14075 2 -0.5 0 S2_Nm1_T0
14077 2 -0.5 0 S2_Nm1_T0
14078 2 -0.5 0 S2_Nm1_T0
14085 2 -0.5 0 S2_Nm1_T0
14086 2 -0.5 0 S2_Nm1_T0
14087 2 -0.5 0 S2_Nm1_T0
14088 2 -0.5 0 S2_Nm1_T0
14089 2 -0.5 0 S2_Nm1_T0
14063 3 -0.5 0 S2_Nm1_T0
14064 3 -0.5 0 S2_Nm1_T0
14065 3 -0.5 0 S2_Nm1_T0
14066 3 -0.5 0 S2_Nm1_T0
14072 3 -0.5 0 S2_Nm1_T0
14073 3 -0.5 0 S2_Nm1_T0
14074 3 -0.5 0 S2_Nm1_T0
14075 3 -0.5 0 S2_Nm1_T0
14077 3 -0.5 0 S2_Nm1_T0
14078 3 -0.5 0 S2_Nm1_T0
14085 3 -0.5 0 S2_Nm1_T0
14086 3 -0.5 0 S2_Nm1_T0
14087 3 -0.5 0 S2_Nm1_T0
14088 3 -0.5 0 S2_Nm1_T0
14089 3 -0.5 0 S2_Nm1_T0
14063 4 -0.5 0 S2_Nm1_T0
14064 4 -0.5 19.8843927926902 S2_Nm1_T0
14065 4 -0.5 0 S2_Nm1_T0
14066 4 -0.5 0 S2_Nm1_T0
14072 4 -0.5 0 S2_Nm1_T0
14073 4 -0.5 104.737735924923 S2_Nm1_T0
14074 4 -0.5 0 S2_Nm1_T0
14075 4 -0.5 0 S2_Nm1_T0
14077 4 -0.5 0 S2_Nm1_T0
14078 4 -0.5 0 S2_Nm1_T0
14085 4 -0.5 0 S2_Nm1_T0
14086 4 -0.5 61.3544261551451 S2_Nm1_T0
14087 4 -0.5 0 S2_Nm1_T0
14088 4 -0.5 0 S2_Nm1_T0
14089 4 -0.5 0 S2_Nm1_T0
14063 5 -0.5 0 S2_Nm1_T0
14064 5 -0.5 0 S2_Nm1_T0
14065 5 -0.5 0 S2_Nm1_T0
14066 5 -0.5 0 S2_Nm1_T0
14072 5 -0.5 0 S2_Nm1_T0
14073 5 -0.5 0 S2_Nm1_T0
14074 5 -0.5 0 S2_Nm1_T0
14075 5 -0.5 0 S2_Nm1_T0
14077 5 -0.5 0 S2_Nm1_T0
14078 5 -0.5 0 S2_Nm1_T0
14085 5 -0.5 0 S2_Nm1_T0
14086 5 -0.5 0 S2_Nm1_T0
14087 5 -0.5 0 S2_Nm1_T0
14088 5 -0.5 0 S2_Nm1_T0
14089 5 -0.5 0 S2_Nm1_T0
14063 6 -0.5 0 S2_Nm1_T0
14064 6 -0.5 4.50652912180707 S2_Nm1_T0
14065 6 -0.5 0 S2_Nm1_T0
14066 6 -0.5 0 S2_Nm1_T0
14072 6 -0.5 0 S2_Nm1_T0
14073 6 -0.5 52.6221051300228 S2_Nm1_T0
14074 6 -0.5 0 S2_Nm1_T0
14075 6 -0.5 0 S2_Nm1_T0
14077 6 -0.5 0 S2_Nm1_T0
14078 6 -0.5 0 S2_Nm1_T0
14085 6 -0.5 0 S2_Nm1_T0
14086 6 -0.5 3.25931175820121 S2_Nm1_T0
14087 6 -0.5 0 S2_Nm1_T0
14088 6 -0.5 0 S2_Nm1_T0
14089 6 -0.5 0 S2_Nm1_T0
14063 7 -0.5 0 S2_Nm1_T0
14064 7 -0.5 0 S2_Nm1_T0
14065 7 -0.5 0 S2_Nm1_T0
14066 7 -0.5 0 S2_Nm1_T0
14072 7 -0.5 0 S2_Nm1_T0
14073 7 -0.5 0 S2_Nm1_T0
14074 7 -0.5 0 S2_Nm1_T0
14075 7 -0.5 0 S2_Nm1_T0
14077 7 -0.5 0 S2_Nm1_T0
14078 7 -0.5 0 S2_Nm1_T0
14085 7 -0.5 0 S2_Nm1_T0
14086 7 -0.5 0 S2_Nm1_T0
14087 7 -0.5 0 S2_Nm1_T0
14088 7 -0.5 0 S2_Nm1_T0
14089 7 -0.5 0 S2_Nm1_T0
14063 8 -0.5 0 S2_Nm1_T0
14064 8 -0.5 63.3285546718056 S2_Nm1_T0
14065 8 -0.5 37.1449929329964 S2_Nm1_T0
14066 8 -0.5 0 S2_Nm1_T0
14072 8 -0.5 0 S2_Nm1_T0
14073 8 -0.5 174.718767236727 S2_Nm1_T0
14074 8 -0.5 0 S2_Nm1_T0
14075 8 -0.5 0 S2_Nm1_T0
14077 8 -0.5 0 S2_Nm1_T0
14078 8 -0.5 16.3923429535259 S2_Nm1_T0
14085 8 -0.5 0 S2_Nm1_T0
14086 8 -0.5 180.714566602858 S2_Nm1_T0
14087 8 -0.5 0 S2_Nm1_T0
14088 8 -0.5 0 S2_Nm1_T0
14089 8 -0.5 0 S2_Nm1_T0
14063 9 -0.5 0 S2_Nm1_T0
14064 9 -0.5 2.18586474364559 S2_Nm1_T0
14065 9 -0.5 0 S2_Nm1_T0
14066 9 -0.5 0 S2_Nm1_T0
14072 9 -0.5 0 S2_Nm1_T0
14073 9 -0.5 43.4553623838287 S2_Nm1_T0
14074 9 -0.5 0 S2_Nm1_T0
14075 9 -0.5 0 S2_Nm1_T0
14077 9 -0.5 0 S2_Nm1_T0
14078 9 -0.5 0 S2_Nm1_T0
14085 9 -0.5 0 S2_Nm1_T0
14086 9 -0.5 1.86010223288065 S2_Nm1_T0
14087 9 -0.5 0 S2_Nm1_T0
14088 9 -0.5 0 S2_Nm1_T0
14089 9 -0.5 0 S2_Nm1_T0
14063 10 -0.5 0 S2_Nm1_T0
14064 10 -0.5 63.7523156002966 S2_Nm1_T0
14065 10 -0.5 37.4139853656411 S2_Nm1_T0
14066 10 -0.5 0 S2_Nm1_T0
14072 10 -0.5 0 S2_Nm1_T0
14073 10 -0.5 182.296385105056 S2_Nm1_T0
14074 10 -0.5 0 S2_Nm1_T0
14075 10 -0.5 0 S2_Nm1_T0
