speciesID lakeID variable value scenario
14063 1 -0.5 22.7597244993801 S2_m1
14064 1 -0.5 73.9826016961387 S2_m1
14065 1 -0.5 56.5201729880422 S2_m1
14066 1 -0.5 0 S2_m1
14072 1 -0.5 0 S2_m1
14073 1 -0.5 201.6606687305 S2_m1
14074 1 -0.5 0 S2_m1
14075 1 -0.5 0 S2_m1
14077 1 -0.5 12.2048021156206 S2_m1
14078 1 -0.5 55.2331955672387 S2_m1
14085 1 -0.5 0 S2_m1
14086 1 -0.5 220.898434985384 S2_m1
14087 1 -0.5 0 S2_m1
14088 1 -0.5 0 S2_m1
14089 1 -0.5 0 S2_m1
14063 2 -0.5 0 S2_m1
14064 2 -0.5 0 S2_m1
14065 2 -0.5 0 S2_m1
14066 2 -0.5 0 S2_m1
14072 2 -0.5 0 S2_m1
14073 2 -0.5 0 S2_m1
14074 2 -0.5 0 S2_m1
14075 2 -0.5 0 S2_m1
14077 2 -0.5 0 S2_m1
14078 2 -0.5 0 S2_m1
14085 2 -0.5 0 S2_m1
14086 2 -0.5 0 S2_m1
14087 2 -0.5 0 S2_m1
14088 2 -0.5 0 S2_m1
14089 2 -0.5 0 S2_m1
14063 3 -0.5 0 S2_m1
14064 3 -0.5 0 S2_m1
14065 3 -0.5 0 S2_m1
14066 3 -0.5 0 S2_m1
14072 3 -0.5 0 S2_m1
14073 3 -0.5 0 S2_m1
14074 3 -0.5 0 S2_m1
14075 3 -0.5 0 S2_m1
14077 3 -0.5 0 S2_m1
14078 3 -0.5 0 S2_m1
14085 3 -0.5 0 S2_m1
14086 3 -0.5 0 S2_m1
14087 3 -0.5 0 S2_m1
14088 3 -0.5 0 S2_m1
14089 3 -0.5 0 S2_m1
14063 4 -0.5 0 S2_m1
14064 4 -0.5 28.0939016263035 S2_m1
14065 4 -0.5 1.26576236174389 S2_m1
14066 4 -0.5 0 S2_m1
14072 4 -0.5 0 S2_m1
14073 4 -0.5 112.936800359368 S2_m1
14074 4 -0.5 0 S2_m1
14075 4 -0.5 0 S2_m1
14077 4 -0.5 0 S2_m1
14078 4 -0.5 0 S2_m1
14085 4 -0.5 0 S2_m1
14086 4 -0.5 82.7269255099324 S2_m1
14087 4 -0.5 0 S2_m1
14088 4 -0.5 0 S2_m1
14089 4 -0.5 0 S2_m1
14063 5 -0.5 0 S2_m1
14064 5 -0.5 0 S2_m1
14065 5 -0.5 0 S2_m1
14066 5 -0.5 0 S2_m1
14072 5 -0.5 0 S2_m1
14073 5 -0.5 0 S2_m1
14074 5 -0.5 0 S2_m1
14075 5 -0.5 0 S2_m1
14077 5 -0.5 0 S2_m1
14078 5 -0.5 0 S2_m1
14085 5 -0.5 0 S2_m1
14086 5 -0.5 0 S2_m1
14087 5 -0.5 0 S2_m1
14088 5 -0.5 0 S2_m1
14089 5 -0.5 0 S2_m1
14063 6 -0.5 0 S2_m1
14064 6 -0.5 5.94156445520333 S2_m1
14065 6 -0.5 0 S2_m1
14066 6 -0.5 0 S2_m1
14072 6 -0.5 0 S2_m1
14073 6 -0.5 56.1346896911402 S2_m1
14074 6 -0.5 0 S2_m1
14075 6 -0.5 0 S2_m1
14077 6 -0.5 0 S2_m1
14078 6 -0.5 0 S2_m1
14085 6 -0.5 0 S2_m1
14086 6 -0.5 4.13261540687504 S2_m1
14087 6 -0.5 0 S2_m1
14088 6 -0.5 0 S2_m1
14089 6 -0.5 0 S2_m1
14063 7 -0.5 0 S2_m1
14064 7 -0.5 0 S2_m1
14065 7 -0.5 0 S2_m1
14066 7 -0.5 0 S2_m1
14072 7 -0.5 0 S2_m1
14073 7 -0.5 0 S2_m1
14074 7 -0.5 0 S2_m1
14075 7 -0.5 0 S2_m1
14077 7 -0.5 0 S2_m1
14078 7 -0.5 0 S2_m1
14085 7 -0.5 0 S2_m1
14086 7 -0.5 0 S2_m1
14087 7 -0.5 0 S2_m1
14088 7 -0.5 0 S2_m1
14089 7 -0.5 0 S2_m1
14063 8 -0.5 1.14300812566669 S2_m1
14064 8 -0.5 69.6018445185572 S2_m1
14065 8 -0.5 44.2412598401033 S2_m1
14066 8 -0.5 0 S2_m1
14072 8 -0.5 0 S2_m1
14073 8 -0.5 180.751298816174 S2_m1
14074 8 -0.5 0 S2_m1
14075 8 -0.5 0 S2_m1
14077 8 -0.5 1.44333195896916 S2_m1
14078 8 -0.5 24.4066187521037 S2_m1
14085 8 -0.5 0 S2_m1
14086 8 -0.5 192.760660130854 S2_m1
14087 8 -0.5 0 S2_m1
14088 8 -0.5 0 S2_m1
14089 8 -0.5 0 S2_m1
14063 9 -0.5 0 S2_m1
14064 9 -0.5 3.55786972556903 S2_m1
14065 9 -0.5 0 S2_m1
14066 9 -0.5 0 S2_m1
14072 9 -0.5 0 S2_m1
14073 9 -0.5 49.8783237889907 S2_m1
14074 9 -0.5 0 S2_m1
14075 9 -0.5 0 S2_m1
14077 9 -0.5 0 S2_m1
14078 9 -0.5 0 S2_m1
14085 9 -0.5 0 S2_m1
14086 9 -0.5 2.7596206825884 S2_m1
14087 9 -0.5 0 S2_m1
14088 9 -0.5 0 S2_m1
14089 9 -0.5 0 S2_m1
14063 10 -0.5 1.80975058458187 S2_m1
14064 10 -0.5 70.4771129524585 S2_m1
14065 10 -0.5 45.0374985443793 S2_m1
14066 10 -0.5 0 S2_m1
14072 10 -0.5 0 S2_m1
14073 10 -0.5 188.772228621915 S2_m1
14074 10 -0.5 0 S2_m1
14075 10 -0.5 0 S2_m1
14077 10 -0.5 1.65825741826897 S2_m1
14078 10 -0.5 20.1588107053658 S2_m1
14085 10 -0.5 0 S2_m1
14086 10 -0.5 206.029521422794 S2_m1
14087 10 -0.5 0 S2_m1
14088 10 -0.5 0 S2_m1
14089 10 -0.5 0 S2_m1
14063 11 -0.5 3.40116222364416 S2_m1
14064 11 -0.5 58.6767296214649 S2_m1
14065 11 -0.5 37.8498131072146 S2_m1
14066 11 -0.5 0 S2_m1
14072 11 -0.5 0 S2_m1
14073 11 -0.5 183.624796501767 S2_m1
14074 11 -0.5 0 S2_m1
14075 11 -0.5 0 S2_m1
14077 11 -0.5 2.14858915046416 S2_m1
14078 11 -0.5 32.743010714025 S2_m1
14085 11 -0.5 0 S2_m1
14086 11 -0.5 186.848548796559 S2_m1
14087 11 -0.5 0 S2_m1
14088 11 -0.5 0 S2_m1
14089 11 -0.5 0 S2_m1
14063 12 -0.5 0 S2_m1
14064 12 -0.5 53.9955990481161 S2_m1
14065 12 -0.5 31.2794881635643 S2_m1
14066 12 -0.5 0 S2_m1
14072 12 -0.5 0 S2_m1
14073 12 -0.5 167.68098508927 S2_m1
14074 12 -0.5 0 S2_m1
14075 12 -0.5 0 S2_m1
14077 12 -0.5 0 S2_m1
14078 12 -0.5 26.2765052917868 S2_m1
14085 12 -0.5 0 S2_m1
14086 12 -0.5 161.264655833365 S2_m1
14087 12 -0.5 0 S2_m1
14088 12 -0.5 0 S2_m1
14089 12 -0.5 0 S2_m1
14063 13 -0.5 0 S2_m1
14064 13 -0.5 0 S2_m1
14065 13 -0.5 0 S2_m1
14066 13 -0.5 0 S2_m1
14072 13 -0.5 0 S2_m1
14073 13 -0.5 0 S2_m1
14074 13 -0.5 0 S2_m1
14075 13 -0.5 0 S2_m1
14077 13 -0.5 0 S2_m1
14078 13 -0.5 0 S2_m1
14085 13 -0.5 0 S2_m1
14086 13 -0.5 0 S2_m1
14087 13 -0.5 0 S2_m1
14088 13 -0.5 0 S2_m1
14089 13 -0.5 0 S2_m1
14063 14 -0.5 0 S2_m1
14064 14 -0.5 0 S2_m1
14065 14 -0.5 0 S2_m1
14066 14 -0.5 0 S2_m1
14072 14 -0.5 0 S2_m1
14073 14 -0.5 0 S2_m1
14074 14 -0.5 0 S2_m1
14075 14 -0.5 0 S2_m1
14077 14 -0.5 0 S2_m1
14078 14 -0.5 0 S2_m1
14085 14 -0.5 0 S2_m1
14086 14 -0.5 0 S2_m1
14087 14 -0.5 0 S2_m1
14088 14 -0.5 0 S2_m1
14089 14 -0.5 0 S2_m1
14063 15 -0.5 10.4310774022488 S2_m1
14064 15 -0.5 82.0449967721169 S2_m1
14065 15 -0.5 59.1822618654278 S2_m1
14066 15 -0.5 0 S2_m1
14072 15 -0.5 0 S2_m1
14073 15 -0.5 202.044138340673 S2_m1
14074 15 -0.5 0 S2_m1
14075 15 -0.5 0 S2_m1
14077 15 -0.5 6.7272117354599 S2_m1
14078 15 -0.5 36.8961411505025 S2_m1
14085 15 -0.5 0 S2_m1
14086 15 -0.5 230.125316941642 S2_m1
14087 15 -0.5 0 S2_m1
14088 15 -0.5 0 S2_m1
14089 15 -0.5 0 S2_m1
14063 16 -0.5 15.0177687067831 S2_m1
14064 16 -0.5 79.3151515702533 S2_m1
14065 16 -0.5 59.5821025872292 S2_m1
14066 16 -0.5 0 S2_m1
14072 16 -0.5 0 S2_m1
14073 16 -0.5 196.416956553597 S2_m1
14074 16 -0.5 0 S2_m1
14075 16 -0.5 0 S2_m1
14077 16 -0.5 9.99934315420353 S2_m1
14078 16 -0.5 54.323692431742 S2_m1
14085 16 -0.5 0 S2_m1
14086 16 -0.5 216.140587632083 S2_m1
14087 16 -0.5 0 S2_m1
14088 16 -0.5 0 S2_m1
14089 16 -0.5 0 S2_m1
14063 17 -0.5 0 S2_m1
14064 17 -0.5 0 S2_m1
14065 17 -0.5 0 S2_m1
14066 17 -0.5 0 S2_m1
14072 17 -0.5 0 S2_m1
14073 17 -0.5 0 S2_m1
14074 17 -0.5 0 S2_m1
14075 17 -0.5 0 S2_m1
14077 17 -0.5 0 S2_m1
14078 17 -0.5 0 S2_m1
14085 17 -0.5 0 S2_m1
14086 17 -0.5 0 S2_m1
