speciesID lakeID variable value scenario
16046 1 -0.5 120.238765776758 base
16047 1 -0.5 309.376308947618 base
16049 1 -0.5 106.113922965159 base
16050 1 -0.5 377.186932712829 base
16052 1 -0.5 661.201332578085 base
16053 1 -0.5 0 base
16054 1 -0.5 184.993281297866 base
16055 1 -0.5 1084.058361437 base
16056 1 -0.5 0 base
16057 1 -0.5 460.678547547362 base
16058 1 -0.5 0 base
16059 1 -0.5 7.65454251501996 base
16060 1 -0.5 45.6830259823653 base
16062 1 -0.5 143.342359527126 base
16063 1 -0.5 45.1574788352321 base
16046 2 -0.5 0 base
16047 2 -0.5 16.2658231717784 base
16049 2 -0.5 0 base
16050 2 -0.5 0 base
16052 2 -0.5 0 base
16053 2 -0.5 0 base
16054 2 -0.5 0 base
16055 2 -0.5 2.10932532899351 base
16056 2 -0.5 0 base
16057 2 -0.5 111.155321710519 base
16058 2 -0.5 0 base
16059 2 -0.5 0 base
16060 2 -0.5 0 base
16062 2 -0.5 0 base
16063 2 -0.5 0 base
16046 3 -0.5 1.19953674298742 base
16047 3 -0.5 77.5737598240556 base
16049 3 -0.5 7.04848449856206 base
16050 3 -0.5 0 base
16052 3 -0.5 70.0559965870126 base
16053 3 -0.5 0 base
16054 3 -0.5 4.15198124662196 base
16055 3 -0.5 119.370529276254 base
16056 3 -0.5 0 base
16057 3 -0.5 163.854239578954 base
16058 3 -0.5 0 base
16059 3 -0.5 0 base
16060 3 -0.5 0 base
16062 3 -0.5 8.43783977599229 base
16063 3 -0.5 0 base
16046 4 -0.5 11.9399592088523 base
16047 4 -0.5 128.013611665596 base
16049 4 -0.5 29.6939290652115 base
16050 4 -0.5 46.5809471604386 base
16052 4 -0.5 213.81882170444 base
16053 4 -0.5 0 base
16054 4 -0.5 45.2111165058851 base
16055 4 -0.5 291.45137187972 base
16056 4 -0.5 0 base
16057 4 -0.5 224.930992794669 base
16058 4 -0.5 0 base
16059 4 -0.5 0 base
16060 4 -0.5 0 base
16062 4 -0.5 38.7570414517058 base
16063 4 -0.5 0 base
16046 5 -0.5 0 base
16047 5 -0.5 0 base
16049 5 -0.5 0 base
16050 5 -0.5 0 base
16052 5 -0.5 0 base
16053 5 -0.5 0 base
16054 5 -0.5 0 base
16055 5 -0.5 0 base
16056 5 -0.5 0 base
16057 5 -0.5 21.3668613624254 base
16058 5 -0.5 0 base
16059 5 -0.5 0 base
16060 5 -0.5 0 base
16062 5 -0.5 0 base
16063 5 -0.5 0 base
16046 6 -0.5 13.4515767218237 base
16047 6 -0.5 127.010247844629 base
16049 6 -0.5 33.9073129351555 base
16050 6 -0.5 19.3912463725348 base
16052 6 -0.5 182.953802776838 base
16053 6 -0.5 0 base
16054 6 -0.5 42.6495415410629 base
16055 6 -0.5 243.309239395025 base
16056 6 -0.5 0 base
16057 6 -0.5 219.859962324125 base
16058 6 -0.5 0 base
16059 6 -0.5 0 base
16060 6 -0.5 0 base
16062 6 -0.5 42.3624418755712 base
16063 6 -0.5 0 base
16046 7 -0.5 0 base
16047 7 -0.5 19.061310082033 base
16049 7 -0.5 0 base
16050 7 -0.5 0 base
16052 7 -0.5 0 base
16053 7 -0.5 0 base
16054 7 -0.5 0 base
16055 7 -0.5 2.51676008505483 base
16056 7 -0.5 0 base
16057 7 -0.5 113.50964717211 base
16058 7 -0.5 0 base
16059 7 -0.5 0 base
16060 7 -0.5 0 base
16062 7 -0.5 0 base
16063 7 -0.5 0 base
16046 8 -0.5 42.9962838447619 base
16047 8 -0.5 171.389226312146 base
16049 8 -0.5 55.3268250742544 base
16050 8 -0.5 147.160358690491 base
16052 8 -0.5 342.007818972499 base
16053 8 -0.5 0 base
16054 8 -0.5 81.8915777143882 base
16055 8 -0.5 484.260616856373 base
16056 8 -0.5 0 base
16057 8 -0.5 284.795057225159 base
16058 8 -0.5 0 base
16059 8 -0.5 0 base
16060 8 -0.5 0 base
16062 8 -0.5 72.435902634575 base
16063 8 -0.5 0 base
16046 9 -0.5 7.95324914705846 base
16047 9 -0.5 116.333664697381 base
16049 9 -0.5 25.5274612958986 base
16050 9 -0.5 12.8825885904869 base
16052 9 -0.5 172.667938174941 base
16053 9 -0.5 0 base
16054 9 -0.5 33.7129562348002 base
16055 9 -0.5 234.6834609803 base
16056 9 -0.5 0 base
16057 9 -0.5 209.561470093694 base
16058 9 -0.5 0 base
16059 9 -0.5 0 base
16060 9 -0.5 0 base
16062 9 -0.5 32.8813438251486 base
16063 9 -0.5 0 base
16046 10 -0.5 51.2116473728781 base
16047 10 -0.5 182.265022954307 base
16049 10 -0.5 58.8570471596895 base
16050 10 -0.5 145.577414424088 base
16052 10 -0.5 345.203846965582 base
16053 10 -0.5 0 base
16054 10 -0.5 91.0616542116215 base
16055 10 -0.5 476.495964227523 base
16056 10 -0.5 0 base
16057 10 -0.5 290.53556991269 base
16058 10 -0.5 0 base
16059 10 -0.5 0 base
16060 10 -0.5 0 base
16062 10 -0.5 74.5439889109385 base
16063 10 -0.5 0 base
16046 11 -0.5 71.4901452889116 base
16047 11 -0.5 243.816592446819 base
16049 11 -0.5 68.9586367609264 base
16050 11 -0.5 294.860235278146 base
16052 11 -0.5 559.085324442806 base
16053 11 -0.5 0 base
16054 11 -0.5 128.970129198811 base
16055 11 -0.5 900.206852318633 base
16056 11 -0.5 0 base
16057 11 -0.5 386.13056472217 base
16058 11 -0.5 0 base
16059 11 -0.5 0 base
16060 11 -0.5 7.71676616059674 base
16062 11 -0.5 98.7127790408415 base
16063 11 -0.5 5.76645110939907 base
16046 12 -0.5 97.4822645247704 base
16047 12 -0.5 297.338729784136 base
16049 12 -0.5 91.3013392038769 base
16050 12 -0.5 367.965326665275 base
16052 12 -0.5 627.955827347664 base
16053 12 -0.5 0 base
16054 12 -0.5 163.57192009589 base
16055 12 -0.5 1123.61671445338 base
16056 12 -0.5 0 base
16057 12 -0.5 476.578928062347 base
16058 12 -0.5 0 base
16059 12 -0.5 2.28700506916924 base
16060 12 -0.5 34.8674778603433 base
16062 12 -0.5 138.760783968188 base
16063 12 -0.5 12.3077481834502 base
16046 13 -0.5 0 base
16047 13 -0.5 18.00792834047 base
16049 13 -0.5 0 base
16050 13 -0.5 0 base
16052 13 -0.5 32.5130866027196 base
16053 13 -0.5 0 base
16054 13 -0.5 0 base
16055 13 -0.5 99.1172903386142 base
16056 13 -0.5 0 base
16057 13 -0.5 130.029053126587 base
16058 13 -0.5 0 base
16059 13 -0.5 0 base
16060 13 -0.5 0 base
16062 13 -0.5 1.35187205839572 base
16063 13 -0.5 0 base
16046 14 -0.5 0 base
16047 14 -0.5 59.892235122384 base
16049 14 -0.5 3.72905266714081 base
16050 14 -0.5 0 base
16052 14 -0.5 12.6817036462413 base
16053 14 -0.5 0 base
16054 14 -0.5 0 base
16055 14 -0.5 65.4026763189949 base
16056 14 -0.5 0 base
16057 14 -0.5 147.09364913542 base
16058 14 -0.5 0 base
16059 14 -0.5 0 base
16060 14 -0.5 0 base
16062 14 -0.5 4.12409564772148 base
16063 14 -0.5 0 base
16046 15 -0.5 78.5404054906017 base
16047 15 -0.5 207.054745843125 base
16049 15 -0.5 77.0552025866179 base
16050 15 -0.5 169.31613139167 base
16052 15 -0.5 372.575741407943 base
16053 15 -0.5 0 base
16054 15 -0.5 115.29974271632 base
16055 15 -0.5 503.406193181956 base
16056 15 -0.5 0 base
16057 15 -0.5 314.561934740807 base
16058 15 -0.5 0 base
16059 15 -0.5 1.61051922086845 base
16060 15 -0.5 0 base
16062 15 -0.5 93.5816954012045 base
16063 15 -0.5 2.77789002209766 base
16046 16 -0.5 91.5400147105752 base
16047 16 -0.5 236.816266823093 base
16049 16 -0.5 86.5973211021201 base
16050 16 -0.5 256.892434209489 base
16052 16 -0.5 492.884112056462 base
16053 16 -0.5 0 base
16054 16 -0.5 135.405806270365 base
16055 16 -0.5 737.749227122365 base
16056 16 -0.5 0 base
16057 16 -0.5 366.075214815444 base
16058 16 -0.5 0 base
16059 16 -0.5 2.52229158716826 base
16060 16 -0.5 8.27532640576338 base
16062 16 -0.5 111.845134954308 base
16063 16 -0.5 5.61978723691936 base
16046 17 -0.5 1.58521951234971 base
16047 17 -0.5 80.986508057213 base
16049 17 -0.5 10.3514111130175 base
16050 17 -0.5 0 base
16052 17 -0.5 105.414210131867 base
16053 17 -0.5 0 base
16054 17 -0.5 5.04321096321511 base
16055 17 -0.5 156.83925737779 base
16056 17 -0.5 0 base
16057 17 -0.5 176.098675789143 base
16058 17 -0.5 0 base
16059 17 -0.5 0 base
16060 17 -0.5 0 base
16062 17 -0.5 14.8529823960833 base
16063 17 -0.5 0 base
16046 18 -0.5 94.1008508944285 base
16047 18 -0.5 266.39257192831 base
16049 18 -0.5 88.2334301236497 base
16050 18 -0.5 326.372224267683 base
16052 18 -0.5 584.325788199494 base
16053 18 -0.5 0 base
16054 18 -0.5 149.70553255035 base
16055 18 -0.5 966.862271865223 base
16056 18 -0.5 0 base
16057 18 -0.5 418.959306471893 base
16058 18 -0.5 0 base
16059 18 -0.5 2.37514133389921 base
16060 18 -0.5 25.8281933292497 base
16062 18 -0.5 123.603639658085 base
16063 18 -0.5 9.9873978556469 base
16046 19 -0.5 38.2430316717081 base
16047 19 -0.5 165.197004768046 base
16049 19 -0.5 51.2051455870307 base
16050 19 -0.5 114.964198845351 base
16052 19 -0.5 302.254563385417 base
16053 19 -0.5 0 base
16054 19 -0.5 76.646884103133 base
16055 19 -0.5 412.827707359097 base
16056 19 -0.5 0 base
16057 19 -0.5 269.88181585352 base
16058 19 -0.5 0 base
16059 19 -0.5 0 base
16060 19 -0.5 0 base
16062 19 -0.5 65.0665016904732 base
16063 19 -0.5 0 base
16046 20 -0.5 85.3018488340643 base
16047 20 -0.5 220.909353618579 base
16049 20 -0.5 82.276548565064 base
16050 20 -0.5 216.475346668836 base
16052 20 -0.5 437.375767633003 base
16053 20 -0.5 0 base
16054 20 -0.5 124.538497349141 base
16055 20 -0.5 625.163045309491 base
16056 20 -0.5 0 base
16057 20 -0.5 340.278795879456 base
16058 20 -0.5 0 base
16059 20 -0.5 2.03135496627727 base
16060 20 -0.5 2.2858440881262 base
16062 20 -0.5 103.310480785322 base
16063 20 -0.5 2.92904384616815 base
16046 21 -0.5 40.8364064781523 base
16047 21 -0.5 170.060924472785 base
16049 21 -0.5 51.8111303709415 base
16050 21 -0.5 120.067441103632 base
16052 21 -0.5 310.986518328779 base
16053 21 -0.5 0 base
16054 21 -0.5 81.2727986066325 base
16055 21 -0.5 423.754217475528 base
16056 21 -0.5 0 base
16057 21 -0.5 274.171724643697 base
16058 21 -0.5 0 base
16059 21 -0.5 0 base
16060 21 -0.5 0 base
16062 21 -0.5 65.5511796392678 base
16063 21 -0.5 0 base
16046 22 -0.5 120.38753938379 base
16047 22 -0.5 295.246235959014 base
16049 22 -0.5 105.978131049094 base
16050 22 -0.5 346.595736979619 base
16052 22 -0.5 621.295540027259 base
16053 22 -0.5 0 base
16054 22 -0.5 180.126882285224 base
16055 22 -0.5 973.517284536007 base
16056 22 -0.5 0 base
16057 22 -0.5 436.208958755897 base
16058 22 -0.5 0 base
16059 22 -0.5 8.44395862359384 base
16060 22 -0.5 38.219317645293 base
16062 22 -0.5 138.492287967176 base
16063 22 -0.5 44.1121368573462 base
16046 23 -0.5 29.0326813394996 base
16047 23 -0.5 151.910909177048 base
16049 23 -0.5 44.4540311551413 base
16050 23 -0.5 68.2653057331345 base
16052 23 -0.5 240.135483502365 base
16053 23 -0.5 0 base
16054 23 -0.5 67.3199828462288 base
16055 23 -0.5 316.565854628689 base
16056 23 -0.5 0 base
16057 23 -0.5 247.036014361736 base
16058 23 -0.5 0 base
16059 23 -0.5 0 base
16060 23 -0.5 0 base
16062 23 -0.5 54.8590249364379 base
16063 23 -0.5 0 base
16046 24 -0.5 56.9040432789791 base
16047 24 -0.5 190.408643572641 base
16049 24 -0.5 61.4557847560154 base
16050 24 -0.5 154.117757728204 base
16052 24 -0.5 358.23268398589 base
16053 24 -0.5 0 base
16054 24 -0.5 99.0083174781934 base
16055 24 -0.5 491.953571274639 base
16056 24 -0.5 0 base
16057 24 -0.5 298.110886140975 base
16058 24 -0.5 0 base
16059 24 -0.5 0 base
16060 24 -0.5 0 base
16062 24 -0.5 77.3757847156507 base
16063 24 -0.5 0 base
16046 25 -0.5 0 base
16047 25 -0.5 69.8588342282869 base
16049 25 -0.5 5.21837040245116 base
16050 25 -0.5 0 base
16052 25 -0.5 19.4270937612937 base
16053 25 -0.5 0 base
16054 25 -0.5 1.52990530604004 base
16055 25 -0.5 72.6375789753876 base
16056 25 -0.5 0 base
16057 25 -0.5 152.569436103565 base
16058 25 -0.5 0 base
16059 25 -0.5 0 base
16060 25 -0.5 0 base
16062 25 -0.5 5.53617935217028 base
16063 25 -0.5 0 base
16046 26 -0.5 101.196403110312 base
16047 26 -0.5 254.715648539398 base
16049 26 -0.5 92.3955747792571 base
16050 26 -0.5 277.497927044544 base
16052 26 -0.5 526.809949867725 base
16053 26 -0.5 0 base
16054 26 -0.5 149.594463494507 base
16055 26 -0.5 786.76177435872 base
16056 26 -0.5 0 base
16057 26 -0.5 383.790086712595 base
16058 26 -0.5 0 base
16059 26 -0.5 3.93976536334874 base
16060 26 -0.5 12.5781208121044 base
16062 26 -0.5 118.4710574379 base
16063 26 -0.5 20.287542644132 base
16046 27 -0.5 0 base
16047 27 -0.5 11.3365073510419 base
16049 27 -0.5 0 base
16050 27 -0.5 0 base
16052 27 -0.5 0 base
16053 27 -0.5 0 base
16054 27 -0.5 0 base
16055 27 -0.5 1.41788058866373 base
16056 27 -0.5 0 base
16057 27 -0.5 103.079388298928 base
16058 27 -0.5 0 base
16059 27 -0.5 0 base
16060 27 -0.5 0 base
16062 27 -0.5 0 base
16063 27 -0.5 0 base
16046 28 -0.5 127.607037478462 base
16047 28 -0.5 299.39378945168 base
16049 28 -0.5 111.848783568268 base
16050 28 -0.5 348.425592829551 base
16052 28 -0.5 622.329448494917 base
16053 28 -0.5 0 base
16054 28 -0.5 185.430084597169 base
16055 28 -0.5 971.037277546399 base
16056 28 -0.5 0 base
16057 28 -0.5 440.361529085684 base
16058 28 -0.5 0 base
16059 28 -0.5 11.3575955823745 base
16060 28 -0.5 44.2591457264942 base
16062 28 -0.5 144.169419436215 base
16063 28 -0.5 46.4201387840646 base
16046 29 -0.5 1.35420584827253 base
16047 29 -0.5 78.3482397916466 base
16049 29 -0.5 8.01466195298114 base
16050 29 -0.5 1.26038751463941 base
16052 29 -0.5 130.978855192077 base
16053 29 -0.5 0 base
16054 29 -0.5 5.92815322593714 base
16055 29 -0.5 194.37213350753 base
16056 29 -0.5 0 base
16057 29 -0.5 176.891258413053 base
16058 29 -0.5 0 base
16059 29 -0.5 0 base
16060 29 -0.5 0 base
16062 29 -0.5 12.4197026769035 base
16063 29 -0.5 0 base
16046 30 -0.5 0 base
16047 30 -0.5 53.9664065282361 base
16049 30 -0.5 2.85889118783638 base
16050 30 -0.5 0 base
16052 30 -0.5 9.96716390990014 base
16053 30 -0.5 0 base
16054 30 -0.5 0 base
16055 30 -0.5 60.4888972144443 base
16056 30 -0.5 0 base
16057 30 -0.5 142.757099909431 base
16058 30 -0.5 0 base
16059 30 -0.5 0 base
16060 30 -0.5 0 base
16062 30 -0.5 3.18554486051594 base
16063 30 -0.5 0 base
16046 31 -0.5 2.97866311023574 base
16047 31 -0.5 87.2536852518697 base
16049 31 -0.5 3.94407615416491 base
16050 31 -0.5 0 base
16052 31 -0.5 82.148509834802 base
16053 31 -0.5 0 base
16054 31 -0.5 7.93170392347941 base
16055 31 -0.5 123.148577837719 base
16056 31 -0.5 0 base
16057 31 -0.5 163.625594718283 base
16058 31 -0.5 0 base
16059 31 -0.5 0 base
16060 31 -0.5 0 base
16062 31 -0.5 6.14156855865288 base
16063 31 -0.5 0 base
16046 1 -1.5 5.87336097818096 base
16047 1 -1.5 125.670315630439 base
16049 1 -1.5 15.4350227209413 base
16050 1 -1.5 409.809686586975 base
16052 1 -1.5 425.341178248759 base
16053 1 -1.5 251.519895339916 base
16054 1 -1.5 288.524624391272 base
16055 1 -1.5 987.879379398851 base
16056 1 -1.5 163.13442370814 base
16057 1 -1.5 241.533236558031 base
16058 1 -1.5 69.8037082053225 base
16059 1 -1.5 0 base
16060 1 -1.5 0 base
16062 1 -1.5 28.6194211697873 base
16063 1 -1.5 192.434480997682 base
16046 2 -1.5 0 base
16047 2 -1.5 9.11352194834387 base
16049 2 -1.5 0 base
16050 2 -1.5 0 base
16052 2 -1.5 0 base
16053 2 -1.5 0 base
16054 2 -1.5 94.7198884991265 base
16055 2 -1.5 1.75533410626993 base
16056 2 -1.5 27.2492717582961 base
16057 2 -1.5 90.8653151203125 base
16058 2 -1.5 0 base
16059 2 -1.5 0 base
16060 2 -1.5 0 base
