Taxon;Trophie;Typ;Gruppe
Chara aspera;1,5;C;1
Chara aspera var. curta;1,5;C;1
Chara hispida;1;C;1
Chara intermedia;1,5;C;1
Chara strigosa;1;C;1
Utricularia minor;1,5;WP;1
Chara contraria;2,5;C;2
Chara contraria var. hispidula;2,5;C;2
Chara delicatula;2;C;2
Chara globularis;2,5;C;2
Chara tomentosa;2;C;2
Chara vulgaris;3;C;2
Chara virgata;2;C;2
Myriophyllum spicatum;3;WP;2
Myriophyllum verticillatum;3,5;WP;2
Nitella opaca;2,5;C;2
Nitellopsis obtusa;2,5;C;2
Potamogeton alpinus;2;WP;2
Potamogeton berchtoldii;3,5;WP;2
Potamogeton filiformis;3;WP;2
Potamogeton gramineus;2,5;WP;2
Potamogeton lucens;3,5;WP;2
Potamogeton natans;2,5;WP;2
Potamogeton perfoliatus;3;WP;2
Potamogeton praelongus;3,5;WP;2
Potamogeton pusillus;3,5;WP;2
Utricularia;3;WP;2
Utricularia australis;3;WP;2
Ceratophyllum demersum;5;WP;3
Ceratophyllum submersum;5;WP;3
Elodea;4,5;WP;3
Elodea canadensis;4,5;WP;3
Elodea nuttallii;4,5;WP;3
Hippuris vulgaris;4;WP;3
Lagarosiphon major;4;WP;3
Lemna minor;5;WP;3
Potamogeton crispus;4,5;WP;3
Potamogeton friesii;5;WP;3
Potamogeton nodosus;5;WP;3
Potamogeton obtusifolius;4,5;WP;3
Potamogeton pectinatus;4;WP;3
Ranunculus circinatus;4,5;WP;3
Ranunculus trichophyllus;4,5;WP;3
Sagittaria sagittifolia;5;WP;3
Zannichellia palustris;5;WP;3
