Gewaesser;Mst.-Name;MST_NR;DATUM;Probestelle;Form;DV-Nr.;Taxon;Dimension;Messwert;Erscheinungsform;CF;LAKE_TYPE;LAKE_TYPE_SIMPLIFIED;LAKE_TYPE2;YEAR
Abtsdorfer See;Schilff-Fläche am Nordwestufer, Seebichl, Transekt 1;31833;23.08.2006;0-1 m;Em;2022;Phragmites australis;HK1-5;4;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Schilff-Fläche am Nordwestufer, Seebichl, Transekt 1;31833;23.08.2006;0-1 m;Em;2928;Carex elata;HK1-5;3;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;23.08.2006;0-1 m;Em;2928;Carex elata;HK1-5;3;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;23.08.2006;0-1 m;Em;2074;Phalaris arundinacea;HK1-5;1;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;23.08.2006;0-1 m;Em;2127;Lythrum;HK1-5;2;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;23.08.2006;0-1 m;Em;2022;Phragmites australis;HK1-5;1;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Ufer, östl. Badhäuselgraben, bei Eiche, Seemair, Transekt 3;31835;23.08.2006;0-1 m;Em;2022;Phragmites australis;HK1-5;4;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Ufer, östl. Badhäuselgraben, bei Eiche, Seemair, Transekt 3;31835;23.08.2006;0-1 m;Em;2928;Carex elata;HK1-5;4;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Schilffläche am Südostufer, Lauterbrunn, Transekt 4;31836;23.08.2006;0-1 m;Em;2022;Phragmites australis;HK1-5;4;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Badebucht am Nordostufer auf dem Freizeitgelände (Bad), Transekt 5;31837;23.08.2006;0-1 m;Em;2841;Carex;HK1-5;2;Spermatophyta;0;2;Prealpine;2;2006
Abtsdorfer See;Schilff-Fläche am Nordwestufer, Seebichl, Transekt 1;31833;02.07.2009;0-1 m;Em;2022;Phragmites australis;HK1-5;5;Spermatophyta;0;2;Prealpine;2;2009
Abtsdorfer See;Ufer, östl. Badhäuselgraben, bei Eiche, Seemair, Transekt 3;31835;02.07.2009;0-1 m;Em;2022;Phragmites australis;HK1-5;5;Spermatophyta;0;2;Prealpine;2;2009
Abtsdorfer See;Schilffläche am Südostufer, Lauterbrunn, Transekt 4;31836;02.07.2009;0-1 m;Em;2022;Phragmites australis;HK1-5;4;Spermatophyta;0;2;Prealpine;2;2009
Abtsdorfer See;Schilff-Fläche am Nordwestufer, Seebichl, Transekt 1;31833;10.07.2012;0-1 m;Em;2022;Phragmites australis;HK1-5;5;Spermatophyta;0;2;Prealpine;2;2012
Abtsdorfer See;Schilff-Fläche am Nordwestufer, Seebichl, Transekt 1;31833;10.07.2012;0-1 m;Em;2928;Carex elata;HK1-5;1;Spermatophyta;0;2;Prealpine;2;2012
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;10.07.2012;0-1 m;Em;2928;Carex elata;HK1-5;3;Spermatophyta;0;2;Prealpine;2;2012
Abtsdorfer See;kleine Bucht am Westufer, zw. Fischer und Seebichl, Transekt 2;31834;10.07.2012;0-1 m;Em;2022;Phragmites australis;HK1-5;2;Spermatophyta;0;2;Prealpine;2;2012
Abtsdorfer See;Ufer, östl. Badhäuselgraben, bei Eiche, Seemair, Transekt 3;31835;10.07.2012;0-1 m;Em;2841;Carex;HK1-5;3;Spermatophyta;0;2;Prealpine;2;2012
